Experiment,Function_ID,Dimension,Number_of_Evaluations,Processing_Time,Global_Optimum,Actual_Solution,Fitness_Optimum,Fitness_Mean,Binary_Solution,Number_Selected_Features,Total_Features,Accuracy,Fitness_Value
1,0,30,5010,879.3199405670166,-1.9603,-1.449122807017544,"[-1.4140350877192982, -1.4140350877192982, -1.4140350877192982, -1.4140350877192982, -1.4140350877192982, -1.4140350877192982, -1.4140350877192982, -1.4140350877192982, -1.4236842105263159, -1.4236842105263159, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4412280701754385, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544]","[-1.3131578947368423, -1.298421052631579, -1.3019298245614035, -1.2242105263157894, -1.3742105263157895, -1.3191228070175438, -1.2343859649122806, -1.283859649122807, -1.3173684210526315, -1.2912280701754386, -1.2745394736842104, -1.2537719298245613, -1.3131798245614035, -1.3021929824561405, -1.3106359649122805, -1.3044956140350876, -1.28984649122807, -1.3056359649122808, -1.3105043859649121, -1.280263157894737, -1.318311403508772, -1.3150219298245613, -1.3306359649122805, -1.3256140350877192, -1.3456140350877193, -1.3030701754385965, -1.2713815789473684, -1.31875, -1.3346491228070176, -1.3192105263157896, -1.3348026315789474, -1.2864692982456138, -1.315877192982456, -1.3073026315789473, -1.3066666666666666, -1.3087280701754387, -1.2805043859649123, -1.2989912280701756, -1.3002850877192982, -1.3432017543859651, -1.3046052631578946, -1.288486842105263, -1.3204166666666668, -1.2719956140350877, -1.2792763157894735, -1.3364912280701755, -1.2865350877192985, -1.3077412280701755, -1.2991885964912282, -1.3115570175438598, -1.2767763157894736, -1.3304385964912282, -1.3173684210526315, -1.3317324561403507, -1.3053728070175439, -1.3306798245614035, -1.300372807017544, -1.2945175438596492, -1.2981359649122806, -1.2963815789473685, -1.3129605263157895, -1.327828947368421, -1.2945175438596492, -1.2899561403508772, -1.2882456140350875, -1.3119956140350877, -1.3018859649122807, -1.325109649122807, -1.3032894736842104, -1.3245614035087718, -1.3110087719298247, -1.3316228070175438, -1.3160087719298246, -1.304780701754386, -1.2844956140350878, -1.3015570175438596, -1.314407894736842, -1.3137719298245614, -1.3124342105263158, -1.2942763157894737, -1.3225657894736842, -1.2653508771929824, -1.3080043859649124, -1.2770833333333333, -1.332938596491228, -1.3076973684210524, -1.2825877192982458, -1.2923245614035088, -1.290175438596491, -1.3394736842105264, -1.3371491228070176, -1.3000438596491228, -1.2802412280701756, -1.257675438596491, -1.254780701754386, -1.306359649122807, -1.2628289473684209, -1.2416666666666667, -1.231030701754386, -1.232280701754386, -1.2413377192982455, -1.220811403508772, -1.2082236842105263, -1.2144956140350878, -1.2138815789473685]","[0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",17,30,0.9736842105263158,1.4026842105263158
2,0,30,5040,858.943653345108,-1.9603,-1.449122807017544,"[-1.4236842105263159, -1.4236842105263159, -1.4236842105263159, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544]","[-1.359824561403509, -1.3243859649122807, -1.2378947368421052, -1.3824561403508775, -1.3314035087719298, -1.334736842105263, -1.3578947368421053, -1.3364912280701753, -1.2978947368421054, -1.2503508771929825, -1.433684210526316, -1.2536842105263157, -1.2840350877192983, -1.2998245614035089, -1.368421052631579, -1.3331578947368423, -1.2536842105263157, -1.3382456140350878, -1.2926315789473686, -1.2536842105263157, -1.2838596491228071, -1.354561403508772, -1.4135087719298247, -1.3347368421052632, -1.345438596491228, -1.2998245614035089, -1.3382456140350878, -1.282280701754386, -1.2536842105263157, -1.34, -1.2536842105263157, -1.2536842105263157, -1.3685964912280704, -1.3294736842105264, -1.3587719298245615, -1.3863157894736844, -1.4231578947368422, -1.3401754385964912, -1.433684210526316, -1.3278947368421052, -1.2536842105263157, -1.2536842105263157, -1.3419298245614035, -1.2536842105263157, -1.4231578947368422, -1.2536842105263157, -1.3101754385964912, -1.3349122807017544, -1.2536842105263157, -1.3296491228070175, -1.327719298245614, -1.345438596491228, -1.308421052631579, -1.3296491228070175, -1.2536842105263157, -1.2536842105263157, -1.2536842105263157, -1.3033333333333332, -1.3015789473684212, -1.3173684210526315, -1.3685964912280704, -1.2536842105263157, -1.3436842105263158, -1.3103508771929824, -1.435438596491228, -1.2536842105263157, -1.4266666666666667, -1.2891228070175438, -1.2536842105263157, -1.3185964912280703, -1.2536842105263157, -1.3878947368421053, -1.338421052631579, -1.4371929824561405, -1.3401754385964912, -1.3294736842105264, -1.3382456140350878, -1.3436842105263158, -1.2536842105263157, -1.3436842105263158, -1.2609210526315788, -1.2731140350877195, -1.2928508771929823, -1.3190570175438596, -1.3159649122807018, -1.292982456140351, -1.2892982456140352, -1.3103947368421054, -1.2939254385964911, -1.3310526315789475, -1.3360526315789474, -1.3098684210526315, -1.3262061403508774, -1.3338377192982456, -1.2992763157894736, -1.3192105263157896, -1.2931359649122807, -1.3092105263157896, -1.308092105263158, -1.3234210526315788, -1.3350657894736842, -1.3162719298245613, -1.3170833333333334, -1.3256359649122806, -1.3106140350877193, -1.2960087719298246, -1.3196929824561403, -1.3003070175438596, -1.3027412280701753, -1.2778070175438596, -1.3075877192982457, -1.2993201754385963, -1.2972149122807017, -1.25984649122807, -1.318311403508772, -1.3039254385964913, -1.3126315789473684, -1.3019517543859649, -1.3087719298245613, -1.3128728070175437, -1.3405921052631578, -1.3204605263157894, -1.2992543859649124, -1.2644736842105264, -1.3125877192982458, -1.2789035087719298, -1.3336622807017544, -1.3032236842105263, -1.3116885964912282, -1.3091666666666666, -1.3237061403508772, -1.3239035087719297, -1.3129605263157895, -1.3078289473684213, -1.3573464912280702, -1.299232456140351, -1.343267543859649, -1.3013815789473686, -1.3258771929824562, -1.2840350877192983, -1.316578947368421, -1.3005263157894738, -1.3023464912280702, -1.304890350877193, -1.2701535087719296, -1.2412061403508772, -1.326688596491228, -1.292828947368421, -1.2934649122807016, -1.2969078947368422, -1.2728070175438597, -1.275109649122807, -1.2728070175438595, -1.3348026315789474, -1.2950877192982457, -1.273048245614035, -1.2836184210526316, -1.2642105263157895, -1.2785307017543859, -1.2831359649122809, -1.281030701754386, -1.2662499999999999, -1.228267543859649, -1.219736842105263, -1.2040570175438596, -1.2032236842105264, -1.2034429824561403]","[0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1]",21,30,0.9649122807017544,1.2619122807017544
3,0,30,5050,849.438886642456,-1.9603,-1.449122807017544,"[-1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544]","[-1.2652631578947369, -1.2189473684210526, -1.2189473684210526, -1.2736842105263158, -1.2205263157894737, -1.2345614035087717, -1.4143859649122805, -1.4200000000000002, -1.3333333333333335, -1.3743859649122807, -1.2616666666666667, -1.2655263157894736, -1.3194078947368422, -1.2749561403508771, -1.2839473684210527, -1.3055482456140353, -1.3034649122807018, -1.3158114035087718, -1.3039912280701755, -1.280986842105263, -1.2894298245614035, -1.310767543859649, -1.3311842105263156, -1.3093640350877194, -1.338969298245614, -1.323311403508772, -1.3295394736842105, -1.3119298245614037, -1.296688596491228, -1.313859649122807, -1.311798245614035, -1.3311184210526317, -1.3407894736842105, -1.268486842105263, -1.3399122807017543, -1.3058333333333334, -1.310855263157895, -1.334824561403509, -1.3508552631578947, -1.3139473684210528, -1.3289254385964913, -1.3449561403508772, -1.3174122807017545, -1.3348245614035088, -1.3105482456140352, -1.3061622807017543, -1.2963815789473685, -1.3164912280701753, -1.3137280701754386, -1.3085087719298245, -1.339714912280702, -1.3053947368421053, -1.2781798245614036, -1.3264254385964913, -1.325109649122807, -1.3260964912280702, -1.2831359649122807, -1.3157017543859648, -1.3006140350877193, -1.3213815789473684, -1.2936184210526318, -1.3343859649122807, -1.3174342105263157, -1.3158114035087718, -1.3184429824561403, -1.2951754385964913, -1.296578947368421, -1.298355263157895, -1.2911622807017544, -1.3144736842105265, -1.3164254385964913, -1.3087938596491226, -1.3005043859649121, -1.2686184210526315, -1.3101535087719298, -1.3189912280701754, -1.3245614035087718, -1.2973684210526317, -1.3011184210526316, -1.3142105263157895, -1.297828947368421, -1.2891008771929826, -1.3217763157894737, -1.30765350877193, -1.3292763157894736, -1.308640350877193, -1.2826315789473686, -1.323859649122807, -1.2957236842105264, -1.2575657894736842, -1.316359649122807, -1.283925438596491, -1.286030701754386, -1.3140789473684211, -1.2701315789473682, -1.2724780701754388, -1.2956798245614034, -1.270657894736842, -1.2549122807017543, -1.2491008771929824, -1.2369078947368422, -1.231907894736842, -1.2058991228070177, -1.2095175438596493]","[0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1]",16,30,0.956140350877193,1.418140350877193
4,0,30,5000,847.5146944522858,-1.9603,-1.45,"[-1.406140350877193, -1.406140350877193, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.4228070175438596, -1.432456140350877, -1.432456140350877, -1.432456140350877, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45, -1.45]","[-1.287719298245614, -1.2666666666666668, -1.312280701754386, -1.3050877192982457, -1.391578947368421, -1.3092982456140352, -1.2963157894736843, -1.3791228070175439, -1.3173684210526315, -1.2347368421052631, -1.2347368421052631, -1.3705263157894738, -1.4143859649122805, -1.3282456140350876, -1.2482456140350875, -1.2433333333333332, -1.331578947368421, -1.2468421052631578, -1.412456140350877, -1.3298245614035087, -1.331578947368421, -1.2468421052631578, -1.2468421052631578, -1.2468421052631578, -1.4178947368421053, -1.333157894736842, -1.3984210526315788, -1.2468421052631578, -1.2964912280701755, -1.4233333333333333, -1.3389473684210524, -1.3298245614035087, -1.2468421052631578, -1.3366666666666664, -1.275438596491228, -1.331578947368421, -1.2468421052631578, -1.4196491228070176, -1.2468421052631578, -1.2945614035087718, -1.3977192982456141, -1.3228070175438595, -1.2735087719298244, -1.333157894736842, -1.2735087719298244, -1.3263157894736841, -1.320877192982456, -1.2468421052631578, -1.3350877192982455, -1.4196491228070174, -1.3175438596491227, -1.25859649122807, -1.2485964912280703, -1.25859649122807, -1.3278947368421052, -1.3314035087719298, -1.3436842105263156, -1.3350877192982455, -1.4284210526315788, -1.2503508771929823, -1.2945614035087718, -1.3757894736842107, -1.3140350877192981, -1.2503508771929823, -1.4266666666666665, -1.2503508771929823, -1.3419298245614033, -1.3314035087719298, -1.3122807017543858, -1.3296491228070173, -1.3419298245614033, -1.2503508771929823, -1.4143859649122805, -1.3385964912280701, -1.2503508771929823, -1.3122807017543858, -1.3096491228070175, -1.2503508771929823, -1.3829824561403508, -1.2503508771929823, -1.2445833333333334, -1.3301315789473684, -1.2974780701754387, -1.2981798245614034, -1.291140350877193, -1.3031140350877195, -1.2987719298245615, -1.2919078947368423, -1.32875, -1.2617105263157895, -1.3053728070175439, -1.3168201754385964, -1.3211622807017545, -1.292061403508772, -1.341688596491228, -1.3023684210526316, -1.3403070175438596, -1.325657894736842, -1.331469298245614, -1.310328947368421, -1.2914473684210528, -1.2914254385964914, -1.306732456140351, -1.3141447368421053, -1.3557236842105262, -1.3223464912280702, -1.3170394736842106, -1.3252192982456141, -1.2665131578947366, -1.3005701754385965, -1.3096052631578947, -1.3230701754385965, -1.3088157894736843, -1.2816228070175437, -1.330219298245614, -1.3308991228070175, -1.3098684210526315, -1.3009868421052633, -1.295921052631579, -1.2685307017543859, -1.2803947368421054, -1.3176096491228069, -1.3266008771929825, -1.298574561403509, -1.3174342105263157, -1.3243859649122807, -1.3098684210526315, -1.3303070175438596, -1.3350657894736844, -1.2944956140350876, -1.3125438596491228, -1.3301754385964912, -1.3241447368421053, -1.320811403508772, -1.3173245614035087, -1.3104166666666666, -1.2789254385964912, -1.3238815789473684, -1.308706140350877, -1.3059429824561404, -1.2948026315789474, -1.3252850877192983, -1.2660087719298247, -1.2550877192982457, -1.2847807017543862, -1.2782675438596491, -1.300219298245614, -1.2772368421052633, -1.30390350877193, -1.3204605263157894, -1.285811403508772, -1.3117324561403507, -1.3120614035087719, -1.2839473684210525, -1.3088157894736843, -1.3091666666666668, -1.307675438596491, -1.2507894736842105, -1.2423026315789474, -1.2591008771929826, -1.2628947368421053, -1.2541008771929825, -1.2625657894736841, -1.2366008771929824, -1.224078947368421, -1.2199342105263158, -1.2203289473684211]","[1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",10,30,0.9649122807017544,1.6249122807017544
5,0,30,5040,851.7900710105896,-1.9603,-1.449122807017544,"[-1.3710526315789473, -1.406140350877193, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.4403508771929825, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544, -1.449122807017544]","[-1.3178947368421052, -1.2119298245614034, -1.3922807017543861, -1.2915789473684212, -1.4108771929824564, -1.24, -1.294561403508772, -1.3389473684210527, -1.319122807017544, -1.2842105263157895, -1.2415789473684211, -1.3210526315789475, -1.3617543859649124, -1.2415789473684211, -1.2798245614035086, -1.2947368421052632, -1.2912280701754386, -1.4057894736842105, -1.3299999999999998, -1.3370175438596492, -1.2452631578947368, -1.2503508771929823, -1.419473684210526, -1.3119298245614035, -1.367017543859649, -1.3263157894736841, -1.3350877192982455, -1.4142105263157894, -1.4405263157894739, -1.2554385964912282, -1.2554385964912282, -1.338421052631579, -1.3929824561403508, -1.2554385964912282, -1.3329824561403512, -1.2554385964912282, -1.4175438596491228, -1.303684210526316, -1.3331578947368423, -1.2554385964912282, -1.2554385964912282, -1.3366666666666667, -1.2554385964912282, -1.3436842105263158, -1.3471929824561406, -1.2554385964912282, -1.4319298245614036, -1.3435087719298247, -1.412280701754386, -1.3435087719298247, -1.306842105263158, -1.3471929824561406, -1.2971929824561406, -1.4315789473684213, -1.2554385964912282, -1.3435087719298247, -1.3933333333333333, -1.2554385964912282, -1.4301754385964913, -1.3314035087719298, -1.3173684210526315, -1.2554385964912282, -1.4140350877192982, -1.2554385964912282, -1.3436842105263158, -1.3296491228070175, -1.338421052631579, -1.3347368421052632, -1.3419298245614035, -1.2996491228070177, -1.3935087719298247, -1.3242105263157895, -1.3894736842105264, -1.3349122807017546, -1.2554385964912282, -1.2554385964912282, -1.2554385964912282, -1.417543859649123, -1.3826315789473687, -1.3489473684210527, -1.2471491228070175, -1.27375, -1.3065789473684208, -1.28375, -1.268969298245614, -1.304780701754386, -1.2775438596491226, -1.3232017543859649, -1.3598245614035087, -1.338969298245614, -1.3228947368421053, -1.2891666666666666, -1.3246929824561402, -1.294451754385965, -1.2978070175438596, -1.345921052631579, -1.3132236842105265, -1.3140789473684211, -1.3075657894736843, -1.300986842105263, -1.3220833333333335, -1.3446271929824563, -1.3117105263157895, -1.3091885964912282, -1.3113157894736842, -1.3036622807017544, -1.2827850877192983, -1.2863377192982457, -1.3114254385964914, -1.3332236842105263, -1.335701754385965, -1.3095394736842105, -1.3319736842105265, -1.3279166666666669, -1.289451754385965, -1.2907456140350877, -1.312390350877193, -1.2819298245614035, -1.3316447368421054, -1.3150438596491227, -1.3213377192982456, -1.355328947368421, -1.3249780701754386, -1.3060526315789474, -1.3049780701754385, -1.2849780701754387, -1.3012719298245616, -1.288311403508772, -1.299451754385965, -1.2935087719298246, -1.3288377192982457, -1.3032236842105263, -1.31109649122807, -1.306732456140351, -1.2739912280701755, -1.285175438596491, -1.2908991228070175, -1.30265350877193, -1.3014254385964912, -1.2929605263157895, -1.3220394736842107, -1.3112061403508772, -1.319517543859649, -1.3438815789473684, -1.2506798245614035, -1.2948684210526316, -1.298201754385965, -1.2837938596491227, -1.3135964912280702, -1.3027192982456142, -1.2906798245614035, -1.319561403508772, -1.300701754385965, -1.3001535087719298, -1.306688596491228, -1.2888157894736842, -1.2683552631578947, -1.2673245614035087, -1.2546710526315787, -1.2321491228070176, -1.227280701754386, -1.2316447368421053, -1.2195833333333332, -1.2489912280701756, -1.2302412280701753, -1.222390350877193, -1.1971929824561403]","[1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1]",20,30,0.9649122807017544,1.2949122807017543
